station,mm,tmax (degC),tmin (degC),af (days),rain (mm),sun (hours),Latitude,Longitude,lat_group
armagh,5.0,15.365408805031448,6.3496855345911944,0.3647798742138365,59.17602339181287,176.2127659574468,54.352,-6.649,1
armagh,6.0,18.12264150943396,9.276100628930818,0.0,62.28304093567251,156.12659574468086,54.352,-6.649,1
armagh,7.0,19.333962264150944,11.09119496855346,0.0,71.47017543859648,131.352688172043,54.352,-6.649,1
armagh,8.0,18.925786163522012,10.831446540880505,0.006289308176100627,82.35789473684211,132.11182795698923,54.352,-6.649,1
armagh,9.0,16.676100628930815,9.010691823899371,0.018867924528301883,69.25263157894737,109.78085106382979,54.352,-6.649,1
armagh,10.0,13.097484276729562,6.350314465408805,1.1823899371069182,81.71520467836257,87.26595744680851,54.352,-6.649,1
armagh,11.0,9.50125786163522,3.4842767295597485,4.672955974842767,73.46842105263158,59.48829787234042,54.352,-6.649,1
armagh,12.0,7.528301886792454,2.1459119496855346,7.383647798742138,80.91294117647058,37.915217391304346,54.352,-6.649,1
ballypatrick,1.0,6.61864406779661,1.8983050847457625,7.072727272727272,128.01111111111112,40.724000000000004,55.181,-6.153,2
ballypatrick,2.0,6.684482758620689,1.7551724137931035,6.666666666666667,111.34444444444445,66.80799999999999,55.181,-6.153,2
ballypatrick,3.0,8.147540983606557,2.3786885245901637,5.43859649122807,96.38,93.45200000000001,55.181,-6.153,2
ballypatrick,4.0,10.22542372881356,3.69,2.8771929824561404,81.44,157.18,55.181,-6.153,2
ballypatrick,5.0,13.022033898305086,5.834482758620689,0.7454545454545455,79.94857142857143,187.57692307692307,55.181,-6.153,2
ballypatrick,6.0,15.505084745762712,8.493103448275862,0.036363636363636355,84.74571428571429,169.60384615384618,55.181,-6.153,2
ballypatrick,7.0,16.776666666666667,10.19322033898305,0.0,94.05714285714286,144.72307692307692,55.181,-6.153,2
ballypatrick,8.0,16.657377049180326,10.254838709677419,0.0,107.52857142857142,142.43461538461537,55.181,-6.153,2
ballypatrick,9.0,15.009677419354839,9.00655737704918,0.12280701754385964,102.81428571428572,106.94615384615383,55.181,-6.153,2
ballypatrick,10.0,12.221666666666668,6.940983606557377,0.2631578947368421,146.8705882352941,83.86923076923077,55.181,-6.153,2
ballypatrick,11.0,8.911666666666667,3.9728813559322034,2.7090909090909094,142.39722222222224,52.892307692307696,55.181,-6.153,2
ballypatrick,12.0,7.204918032786885,2.5311475409836066,5.368421052631579,142.26285714285714,31.11923076923077,55.181,-6.153,2
bradford,1.0,6.006896551724138,1.0310344827586206,10.862068965517242,90.43070175438596,35.876724137931035,53.813,-1.772,1
bradford,2.0,6.3422413793103445,1.121551724137931,9.775862068965518,72.6140350877193,55.71709401709401,53.813,-1.772,1
bradford,3.0,8.448695652173914,2.174782608695652,6.6695652173913045,63.26814159292036,94.04347826086956,53.813,-1.772,1
bradford,4.0,11.306956521739131,3.90695652173913,2.591304347826087,56.5504424778761,134.15603448275863,53.813,-1.772,1
bradford,5.0,14.970434782608697,6.647826086956522,0.3217391304347826,58.478761061946905,168.39655172413794,53.813,-1.772,1
bradford,6.0,17.797391304347826,9.556521739130435,0.0,61.48672566371682,174.32672413793105,53.813,-1.772,1
bradford,7.0,19.450434782608696,11.657391304347826,0.0,67.13362831858407,164.59310344827585,53.813,-1.772,1
bradford,8.0,19.043478260869566,11.459999999999999,0.0,75.53097345132743,151.69482758620688,53.813,-1.772,1
bradford,9.0,16.584347826086958,9.541739130434781,0.008695652173913044,68.13628318584071,117.09482758620689,53.813,-1.772,1
bradford,10.0,12.87758620689655,6.73448275862069,0.9051724137931034,81.38584070796459,82.30344827586208,53.813,-1.772,1
