Codes,Area names,Region,Location,Total % 0-4,Total % 5-6,Total % 7-8,Total % 9-10,Total Average rating,0-4 CV,0-4 Lower limit,0-4 Upper limit,5-6 CV, 5-6 Lower limit,5-6 Upper limit,7-8 CV,7-8 Lower limit,7-8 Upper limit,9-10 CV,9-10 Lower limit,9-10 Upper limit,Total CV,Total Lower limit,Total Upper limit,Sample size
95M,,,Dungannon,,,,,7.786666666666666,39.88666666666666,1.4249999999999998,19.08,27.473333333333333,5.65,18.74,18.38,20.61,43.974999999999994,13.016666666666667,32.64,57.88,3.293333333333333,7.273333333333333,8.299999999999999,94.33333333333333
95N,,,Craigavon,,,,,7.609999999999999,32.52,2.625,17.66,24.636666666666667,7.595,20.84,15.560000000000002,19.96,39.145,11.03,36.435,55.745000000000005,3.426666666666667,7.086666666666667,8.13,136.0
95O,,,Armagh,,,,,7.916666666666667,53.913333333333334,0.27,7.359999999999999,28.25333333333333,5.46,19.759999999999998,13.28,31.39,53.32,13.76,29.785,52.665,2.89,7.456666666666667,8.383333333333333,93.33333333333333
95P,,,Newry and Mourne,,,,,7.646666666666666,33.67333333333334,1.715,9.785,28.583333333333332,5.345,16.505,10.793333333333335,38.81,59.370000000000005,15.723333333333334,24.835,43.629999999999995,2.0733333333333337,7.326666666666667,7.960000000000001,146.0
95Q,,,Banbridge,,,,,7.706666666666667,44.49666666666667,2.12,16.060000000000002,37.876666666666665,3.08,20.415,15.476666666666667,27.299999999999997,50.465,14.743333333333334,28.13,52.43,3.0033333333333334,7.236666666666667,8.18,75.33333333333333
95R,,,Down,,,,,7.763333333333333,36.056666666666665,2.395,16.045,27.98,3.6100000000000003,15.39,12.493333333333334,29.125,48.754999999999995,11.11,32.245000000000005,52.435,2.56,7.366666666666666,8.156666666666666,132.0
95S,,,Lisburn,,,,,7.760000000000001,29.679999999999996,3.0900000000000003,10.79,22.516666666666666,5.8,15.865,9.72,31.265,47.8,10.763333333333335,34.3,51.09,2.07,7.44,8.076666666666666,177.66666666666666
95T,,,Antrim,,,,,7.913333333333334,48.24666666666667,1.175,15.09,49.943333333333335,7.295,26.52,18.186666666666667,23.17,43.525,15.030000000000001,29.125,54.1,3.6366666666666667,7.32,8.503333333333334,75.0
95U,,,Newtownabbey,,,,,7.563333333333333,40.71,1.5499999999999998,14.665,21.923333333333336,11.73,26.1,13.069999999999999,34.129999999999995,55.87,15.746666666666664,18.08,37.875,2.6366666666666667,7.166666666666667,7.960000000000001,105.0
95V,,,Carrickfergus,,,,,7.656666666666666,42.96333333333334,1.83,16.835,41.376666666666665,1.6500000000000001,26.130000000000003,16.833333333333332,24.125,54.44500000000001,20.746666666666666,22.73,52.26,4.346666666666667,6.976666666666667,8.333333333333334,67.33333333333333
95W,,,North Down,,,,,7.463333333333334,43.72,2.295,12.615000000000002,28.819999999999997,6.359999999999999,19.884999999999998,8.913333333333334,48.04,66.57,18.083333333333332,13.885,30.345,2.3766666666666665,7.109999999999999,7.816666666666666,113.66666666666667
95X,,,Ards,,,,,7.489999999999999,33.49666666666667,4.09,15.135,27.060000000000002,6.445,19.245,11.996666666666668,34.295,55.435,16.94,22.475,42.864999999999995,2.796666666666667,7.07,7.909999999999999,116.33333333333333
95Y,,,Castlereagh,,,,,7.436666666666667,42.81333333333333,-0.05500000000000005,13.55,29.69333333333333,7.205,25.445,15.563333333333333,28.77,50.91,16.2,26.435,47.75,3.773333333333333,6.876666666666666,8.0,103.0
95Z,,,Belfast,10.94,15.79,45.08,28.19,7.239999999999999,21.2,6.693333333333334,16.453333333333333,13.280000000000001,12.270000000000001,20.936666666666667,7.859999999999999,35.236666666666665,48.10333333333333,9.883333333333335,24.26666666666667,36.04666666666667,1.96,6.96,7.5200000000000005,402.3333333333333
E06000001,,Hartlepool UA,,11.77,17.2825,37.3575,33.5875,7.3075,9.735,9.5325,14.015,7.7175,14.66,19.905,4.5,34.0575,40.655,5.0475,30.270000000000003,36.905,1.1400000000000001,7.145,7.4725,1082.25
E06000002,,Middlesbrough UA,,13.1275,16.7475,37.645,32.477500000000006,7.225,10.4775,10.434999999999999,15.8225,8.1625,14.0625,19.4325,4.575,34.2625,41.025,5.472499999999999,28.9875,35.964999999999996,1.3074999999999999,7.034999999999999,7.4075,988.75
E06000003,,Redcar and Cleveland UA,,10.844999999999999,17.310000000000002,37.8275,34.0175,7.3675,10.765,8.57,13.12,8.3975,14.454999999999998,20.1675,4.6375,34.395,41.2625,5.195,30.550000000000004,37.48,1.1524999999999999,7.2025,7.535,977.25
E06000004,,Stockton-on-Tees UA,,10.32,17.265,39.582499999999996,32.832499999999996,7.3725,12.200000000000001,7.885,12.7575,9.3,14.1125,20.4225,5.234999999999999,35.5075,43.655,5.99,28.970000000000002,36.695,1.2125,7.195,7.5475,808.5
E06000005,,Darlington UA,,11.13,16.0325,38.94,33.8975,7.3425,10.915,8.74,13.52,8.77,13.27,18.799999999999997,4.8175,35.254999999999995,42.625,5.515000000000001,30.229999999999997,37.557500000000005,1.2075,7.17,7.5200000000000005,944.0
E06000006,,Halton UA,,12.2075,18.1825,37.99,31.6225,7.194999999999999,10.442499999999999,9.7225,14.695,8.647499999999999,15.105,21.26,5.0075,34.254999999999995,41.7225,5.865,27.9775,35.2675,1.31,7.01,7.38,866.0
