Codes,Area names,Region,Location,Total % 0-4,Total % 5-6,Total % 7-8,Total % 9-10,Total Average rating,Total Standard deviation,0-4 CV,0-4 Lower limit,0-4 Upper limit,5-6 CV, 5-6 Lower limit,5-6 Upper limit,7-8 CV,7-8 Lower limit,7-8 Upper limit,9-10 CV,9-10 Lower limit,9-10 Upper limit,Total CV,Total Lower limit,Total Upper limit,Sample size
E08000010,,,Wigan,11.92,18.72,35.96,33.41,7.29,2.3,10.13,9.54,14.29,8.56,15.57,21.87,5.07,32.37,39.55,5.42,29.85,36.97,1.21,7.11,7.46,855
E10000017,,Lancashire,,10.5,18.86,37.31,33.32,7.34,2.23,8.37,8.78,12.23,6.06,16.62,21.11,3.83,34.51,40.11,4.2,30.57,36.07,0.89,7.21,7.47,1563
E07000117,,,Burnley,x,x,x,x,7.32,2,37.43,1.66,12.08,19.5,16.19,37.33,15.74,24.24,46.95,15.36,21.2,40.36,2.91,6.89,7.76,97
E07000118,,,Chorley,x,x,x,x,7.38,2.19,20.61,6.6,15.85,25.72,7.16,22.33,10.95,31.75,49.54,13.9,24.1,42.67,2.68,6.99,7.78,160
E07000119,,,Fylde,x,x,x,x,7.12,2.19,29.98,5.1,20.74,18.04,12.23,26.23,14.38,25.49,46.33,14.62,22.51,41.36,3.12,6.67,7.56,104
E07000120,,,Hyndburn,x,x,x,x,7.08,2.15,31.68,4.55,20.96,27.66,8.71,31.04,15.59,27.62,53.2,18.69,16.72,37.18,3.85,6.53,7.64,104
E07000121,,,Lancaster,x,x,x,x,7.37,2.14,21,5.28,12.9,17.62,13.91,29.02,10.74,30.14,46.61,14.26,22.22,39.92,2.51,7,7.74,174
E07000122,,,Pendle,x,x,x,x,7.66,2.04,33.43,2.39,12.56,25.09,8.48,26.18,13.52,29.91,52.62,13.8,24.4,43.45,2.6,7.26,8.07,105
E07000123,,,Preston,x,x,x,x,7.19,2.33,23.73,6.43,18.04,14.08,14.71,26.24,11.43,25.27,40.23,13.04,25.54,43.54,2.98,6.76,7.61,179
E07000124,,,Ribble Valley,x,x,x,x,7.76,2.13,42.92,0.94,15.02,24.78,8.19,25.19,16.58,21.59,43.91,15.95,28.62,56.55,4.04,7.12,8.4,78
E07000125,,,Rossendale,x,x,x,x,7.44,2.21,35.46,2.29,14.08,25.2,9.53,29.53,15.33,26.64,50.74,15.75,22.84,44.35,3.52,6.91,7.97,81
E07000126,,,South Ribble,x,x,x,x,7.17,2.34,26.18,4.22,13.47,17.15,16.74,34.18,11.84,26.51,42.92,13.15,22.84,39.11,3,6.74,7.6,162
E07000127,,,West Lancashire,x,x,x,x,7.2,2.55,20.33,8.58,20.35,21.87,7.16,18.32,11.75,31.61,51.05,12.55,23.56,39.37,3.05,6.76,7.64,147
E07000128,,,Wyre,x,x,x,x,7.58,2.23,35.85,3.38,20.35,18.75,7.33,16.1,12.95,26.33,44.68,11.92,31.19,50.65,3,7.13,8.04,172
E11000002,,Merseyside (Met County),,12.83,18.63,37.51,31.03,7.14,2.41,5.29,11.5,14.16,3.81,17.24,20.03,2.63,35.57,39.44,2.95,29.24,32.83,0.68,7.04,7.23,4501
E08000011,,,Knowsley ,14.74,20.19,35.02,30.05,7.03,2.45,9.25,12.06,17.42,7.32,17.28,23.1,5.73,31.07,38.96,5.87,26.58,33.52,1.31,6.85,7.21,906
E08000012,,,Liverpool,14.39,17.52,38.07,30.02,7.06,2.44,10.58,11.39,17.38,8.45,14.61,20.43,5.69,33.81,42.33,6.6,26.12,33.92,1.45,6.86,7.26,929
E08000014,,,Sefton,9.6,18.25,38.98,33.17,7.4,2.18,11.82,7.37,11.83,8.52,15.19,21.31,5.43,34.82,43.15,6.13,29.17,37.17,1.17,7.23,7.57,764
E08000013,,,St. Helens,11.06,17.42,36.98,34.54,7.33,2.33,11.18,8.63,13.49,8.06,14.66,20.18,5.08,33.29,40.68,5.13,31.05,38.02,1.21,7.16,7.51,911
E08000015,,,Wirral,13.49,20.55,36.88,29.08,6.98,2.56,10.52,10.7,16.28,7.14,17.67,23.44,4.88,33.34,40.42,5.87,25.72,32.43,1.62,6.75,7.2,991
E12000003,YORKSHIRE AND THE HUMBER,,,11.79,17.88,38.52,31.8,7.24,2.29,3.13,11.07,12.52,2.34,17.06,18.7,1.38,37.48,39.56,1.61,30.8,32.8,0.36,7.19,7.29,13277
E06000011,,East Riding of Yorkshire UA,,10.33,20.41,39.58,29.68,7.25,2.16,10.73,8.15,12.51,8.31,17.07,23.75,4.55,36.03,43.12,6.02,26.17,33.19,1.2,7.08,7.43,794
E06000010,,"Kingston upon Hull, City of UA",,12.22,17.92,35.21,34.66,7.3,2.34,10.04,9.8,14.63,8.88,14.79,21.05,5.61,31.33,39.09,5.75,30.74,38.57,1.32,7.11,7.49,996
E06000012,,North East Lincolnshire UA,,10.27,17.45,39.39,32.89,7.35,2.23,11.15,8.02,12.53,7.44,14.9,20,4.56,35.86,42.92,5.33,29.44,36.34,1.12,7.19,7.51,891
E06000013,,North Lincolnshire UA,,9.62,16.94,38.98,34.46,7.42,2.16,11.85,7.38,11.86,8.62,14.07,19.81,4.68,35.39,42.57,5.44,30.77,38.15,1.15,7.25,7.59,871
E06000014,,York UA,,11.14,17.52,43.42,27.91,7.24,2.09,12.9,8.32,13.97,9.21,14.35,20.7,4.77,39.35,47.5,6.21,24.5,31.32,1.17,7.07,7.41,769
E10000023,,North Yorkshire,,7.34,17.21,40.33,35.11,7.54,2.07,13.46,5.4,9.29,8.36,14.38,20.05,4.58,36.7,43.96,5.01,31.65,38.57,1.07,7.38,7.7,845
E07000163,,,Craven,x,x,x,x,7.9,1.95,33.78,2.52,13.69,24.84,5.18,15.81,15.71,22.07,42.88,10.61,38.34,59.51,2.61,7.48,8.32,88
E07000164,,,Hambleton,x,x,x,x,7.69,2.15,28.54,3.34,12.35,22.25,10,26.2,12.76,23.76,40.16,11.16,32.64,51.55,2.74,7.27,8.11,118
E07000165,,,Harrogate,x,x,x,x,7.36,2,27.33,3.11,10.55,16.81,10.65,21.38,8.19,41.22,57.3,12.62,20.88,34.92,2.04,7.07,7.66,198
E07000166,,,Richmondshire,x,x,x,x,7.24,2.14,37.27,2.12,15.24,25.33,9.68,30.14,11.74,37.39,60.74,25.06,10.99,33.7,3.92,6.67,7.82,77
E07000167,,,Ryedale,x,x,x,x,7.76,2.14,41.88,1.29,17.04,30.96,5.52,24.72,16,23.21,45.9,14.38,29.02,53.31,3.72,7.17,8.36,75
E07000168,,,Scarborough,x,x,x,x,7.37,2.04,38.59,1.6,12.42,18.55,13.76,29.99,11.85,29.47,47.76,13.24,23.9,41.11,2.82,6.96,7.79,156
E07000169,,,Selby,x,x,x,x,7.73,2.05,41.41,0.96,10.32,21.37,9.53,23.83,13.34,27.55,47.67,12.37,30.13,50.01,2.78,7.3,8.17,133
E11000003,,South Yorkshire (Met County),,13.41,17.92,36.56,32.11,7.15,2.42,5.64,11.93,14.9,4.43,16.36,19.47,2.88,34.49,38.63,3.1,30.16,34.06,0.73,7.05,7.25,3681
E08000016,,,Barnsley,15.5,19.45,31.9,33.14,7.06,2.46,8.91,12.79,18.22,7.81,16.47,22.44,5.36,28.54,35.26,5.32,29.67,36.61,1.32,6.88,7.24,968
E08000017,,,Doncaster,13.01,18.91,32.43,35.65,7.22,2.47,10.17,10.41,15.61,8.26,15.84,21.98,5.84,28.7,36.15,5.33,31.91,39.39,1.33,7.04,7.41,910
E08000018,,,Rotherham ,15.89,16.91,33.98,33.22,7.04,2.64,9.62,12.88,18.89,7.89,14.28,19.53,5.32,30.43,37.54,5.36,29.72,36.73,1.52,6.83,7.25,945
E08000019,,,Sheffield,11.71,17.24,41.62,29.43,7.2,2.27,11.88,8.97,14.44,8.42,14.38,20.09,4.85,37.65,45.59,6.26,25.81,33.06,1.33,7.01,7.39,858
E11000006,,West Yorkshire (Met County),,12.52,17.78,38.88,30.82,7.18,2.3,5.11,11.26,13.77,3.84,16.45,19.12,2.21,37.19,40.56,2.73,29.17,32.47,0.59,7.1,7.27,4430
E08000032,,,Bradford ,14.18,17.58,35.27,32.97,7.2,2.35,12.63,10.66,17.71,8.69,14.57,20.58,5.61,31.38,39.16,5.84,29.18,36.76,1.46,6.99,7.41,773
E08000033,,,Calderdale,11.72,16.06,39.26,32.97,7.3,2.27,9.69,9.48,13.95,8.97,13.22,18.89,4.82,35.53,42.98,5.92,29.13,36.81,1.19,7.13,7.47,875
E08000034,,,Kirklees ,11.2,16.09,41.03,31.69,7.29,2.25,11.41,8.68,13.71,9.69,13.02,19.15,4.87,37.1,44.96,5.76,28.1,35.28,1.25,7.11,7.47,783
E08000035,,,Leeds ,12.42,18.61,39.96,29.02,7.14,2.24,8.56,10.33,14.5,6.61,16.19,21.02,3.8,36.97,42.95,5.27,26.01,32.02,1.03,6.99,7.28,1162
E08000036,,,Wakefield,12.42,19.19,38.62,29.78,7.07,2.46,11.16,9.69,15.14,8.27,16.06,22.31,4.87,34.93,42.32,6.24,26.12,33.43,1.48,6.86,7.28,837
E12000004,EAST MIDLANDS,,,10.93,17.66,38.35,33.07,7.32,2.25,3.91,10.09,11.76,2.89,16.66,18.66,1.72,37.06,39.64,1.95,31.8,34.33,0.43,7.26,7.39,8137
E06000015,,Derby UA ,,13.92,16.94,39.12,30.02,7.16,2.37,9.55,11.31,16.53,9,13.95,19.94,4.86,35.39,42.86,6.33,26.28,33.75,1.32,6.98,7.35,901
E06000016,,Leicester UA,,12.63,19.5,36.18,31.69,7.2,2.31,12.37,9.56,15.7,8.53,16.23,22.77,6.07,31.86,40.5,6.66,27.54,35.85,1.51,6.99,7.42,856
E06000018,,Nottingham UA,,11.52,18.75,37.43,32.31,7.24,2.28,10.23,9.2,13.84,7.69,15.91,21.58,5.07,33.7,41.16,5.75,28.65,35.96,1.25,7.06,7.42,1056
