Codes,Area names,Region,Location,Total % 0-4,Total % 5-6,Total % 7-8,Total % 9-10,Total Average rating,0-4 CV,0-4 Lower limit,0-4 Upper limit,5-6 CV, 5-6 Lower limit,5-6 Upper limit,7-8 CV,7-8 Lower limit,7-8 Upper limit,9-10 CV,9-10 Lower limit,9-10 Upper limit,Total CV,Total Lower limit,Total Upper limit,Sample size
E07000214,,,Surrey Heath,x,x,x,x,7.72,54.15,x,x,26.64,x,x,9.39,x,x,13.77,x,x,2,7.4,8.03,131
E07000215,,,Tandridge,x,x,x,x,7.86,34.11,x,x,26.37,x,x,12.54,x,x,11.67,x,x,2.65,7.44,8.28,102
E07000216,,,Waverley,x,x,x,x,7.41,29.41,x,x,18.9,x,x,8.98,x,x,12.01,x,x,2.16,7.09,7.73,160
E07000217,,,Woking,x,x,x,x,7.7,34.15,x,x,24.21,x,x,11.89,x,x,13.02,x,x,2.63,7.29,8.11,117
E10000032,,West Sussex,,7.64,16.22,38.74,37.4,7.61,11.66,5.89,9.39,8.49,13.51,18.93,4.38,35.4,42.07,4.52,34.08,40.72,0.92,7.48,7.75,998
E07000223,,,Adur,x,x,x,x,7.85,42.56,x,x,40.47,x,x,14.1,x,x,15.66,x,x,3.36,7.31,8.39,67
E07000224,,,Arun,x,x,x,x,7.42,21.09,x,x,21.26,x,x,9.6,x,x,12.14,x,x,2.35,7.07,7.77,180
E07000225,,,Chichester,x,x,x,x,7.7,32.54,x,x,25.04,x,x,13.64,x,x,10.57,x,x,2.15,7.37,8.03,146
E07000226,,,Crawley,x,x,x,x,7.69,34.62,x,x,21.07,x,x,14.61,x,x,10.59,x,x,2.6,7.29,8.1,124
E07000227,,,Horsham,x,x,x,x,7.35,28.93,x,x,17.22,x,x,9.08,x,x,15.86,x,x,2.59,6.97,7.73,165
E07000228,,,Mid Sussex,x,x,x,x,7.84,31.19,x,x,18.11,x,x,11.08,x,x,9.06,x,x,1.82,7.56,8.13,187
E07000229,,,Worthing,x,x,x,x,7.6,38.07,x,x,25.72,x,x,11.8,x,x,12.68,x,x,2.57,7.21,7.99,129
E12000009,SOUTH WEST,,,9.71,16.45,41.02,32.83,7.41,3.55,9.03,10.38,2.53,15.63,17.26,1.37,39.91,42.12,1.67,31.75,33.9,0.32,7.36,7.46,13336
E06000022,,Bath and North East Somerset UA,,8.43,19.11,43.83,28.63,7.3,13.57,6.18,10.68,7.35,16.35,21.87,4.65,39.82,47.83,6.22,25.13,32.13,1.12,7.14,7.46,1026
E06000028,,Bournemouth UA,,11.5,20.33,41.23,26.93,7.14,11.19,8.97,14.03,7.59,17.3,23.37,4.91,37.25,45.21,6.94,23.26,30.61,1.26,6.96,7.31,912
E06000023,,"Bristol, City of UA",,11.91,17.95,41.95,28.2,7.12,11.81,9.14,14.68,9.78,14.49,21.4,4.88,37.92,45.98,7.23,24.18,32.21,1.39,6.92,7.31,737
E06000052,,Cornwall UA,,11.26,16.14,33.31,39.29,7.49,10.85,8.86,13.66,8.24,13.53,18.76,5.47,29.73,36.89,5.03,35.4,43.18,1.16,7.32,7.67,955
E06000053,,Isles of Scilly UA,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
E06000024,,North Somerset UA,,9.35,16.66,42.08,31.92,7.38,13.18,6.92,11.77,9.31,13.61,19.71,5.17,37.79,46.36,6.26,27.99,35.85,1.24,7.2,7.56,795
E06000026,,Plymouth UA,,10.19,17.04,39.52,33.25,7.39,12.07,7.78,12.61,9.56,13.83,20.24,5.31,35.39,43.65,7.23,28.52,37.97,1.26,7.21,7.58,1058
E06000029,,Poole UA,,9.34,17.67,42.59,30.4,7.4,13.54,6.85,11.82,8.29,14.79,20.55,4.38,38.92,46.26,5.85,26.9,33.9,1.16,7.23,7.57,893
E06000025,,South Gloucestershire UA,,8.37,15.59,43.81,32.24,7.52,16.42,5.66,11.08,10.85,12.26,18.92,5.17,39.34,48.27,6.57,28.07,36.4,1.19,7.34,7.69,713
E06000030,,Swindon UA,,11.72,18.54,35.91,33.83,7.23,12.56,8.82,14.62,9.59,15.04,22.04,5.68,31.9,39.92,6.23,29.68,37.98,1.47,7.02,7.44,779
E06000027,,Torbay UA,,12.78,16.4,39.06,31.76,7.24,10.47,10.15,15.41,8.8,13.56,19.24,4.89,35.3,42.81,5.6,28.26,35.26,1.25,7.06,7.41,1037
E06000054,,Wiltshire UA,,7.93,16.69,41.76,33.62,7.49,13.14,5.88,9.98,8.72,13.83,19.55,4.55,38.03,45.5,5.49,29.99,37.25,0.97,7.35,7.63,912
E10000008,,Devon,,8.51,15.05,45.06,31.38,7.46,12.79,6.37,10.65,8.18,12.63,17.47,4.02,41.49,48.62,5.15,28.21,34.56,0.95,7.32,7.6,967
E07000040,,,East Devon,x,x,x,x,7.76,33.35,x,x,20.63,x,x,8.9,x,x,10.72,x,x,1.83,7.47,8.04,156
